ID: 5692549928996307024, Position: (22.106050491333008, -19.733356475830078, 1.0574088096618652), Name: pole, Bounding Box: {'max': [22.217248916625977, -19.60948371887207, 2.4499998092651367], 'min': [21.907320022583008, -19.826278686523438, 0.09839283674955368], 'type': 'AABB', 'world_P_center': [22.062284469604492, -19.717880249023438, 1.2741962671279907], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307026, Position: (23.176786422729492, -31.83551597595215, 2.2980329990386963), Name: building, Bounding Box: {'max': [23.850000381469727, -31.549999237060547, 2.3499999046325684], 'min': [22.549999237060547, -32.15000534057617, 2.2408530712127686], 'type': 'AABB', 'world_P_center': [23.200000762939453, -31.85000228881836, 2.295426368713379], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307029, Position: (6.862764358520508, -24.888418197631836, 0.9002490639686584), Name: pole, Bounding Box: {'max': [7.003572463989258, -24.804014205932617, 1.9500000476837158], 'min': [6.702304840087891, -24.997976303100586, -0.1726839244365692], 'type': 'AABB', 'world_P_center': [6.852938652038574, -24.9009952545166, 0.8886580467224121], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307030, Position: (8.85176944732666, -16.2413272857666, 1.6411936283111572), Name: pole, Bounding Box: {'max': [8.950000762939453, -16.02627944946289, 2.4499998092651367], 'min': [8.602134704589844, -16.350000381469727, 1.1200439929962158], 'type': 'AABB', 'world_P_center': [8.776067733764648, -16.188140869140625, 1.7850219011306763], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307031, Position: (4.7365193367004395, -24.68780517578125, 2.163241147994995), Name: building, Bounding Box: {'max': [7.079674243927002, -22.607215881347656, 2.522944450378418], 'min': [2.0236141681671143, -26.55000114440918, 1.4500000476837158], 'type': 'AABB', 'world_P_center': [4.551644325256348, -24.578609466552734, 1.986472249031067], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307034, Position: (2.9794020652770996, -22.97777557373047, 0.8517106175422668), Name: pole, Bounding Box: {'max': [3.0969574451446533, -22.837160110473633, 2.049999952316284], 'min': [2.8131866455078125, -23.149999618530273, -0.225162535905838], 'type': 'AABB', 'world_P_center': [2.9550719261169434, -22.993579864501953, 0.9124187231063843], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307035, Position: (2.8765337467193604, -23.076435089111328, -1.2892096042633057), Name: pole, Bounding Box: {'max': [3.25, -22.850000381469727, -1.0271459817886353], 'min': [2.3499999046325684, -23.350000381469727, -1.4155775308609009], 'type': 'AABB', 'world_P_center': [2.799999952316284, -23.100000381469727, -1.221361756324768], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307036, Position: (1.6093156337738037, -12.288155555725098, 1.8822264671325684), Name: building, Bounding Box: {'max': [3.5256593227386475, -10.949999809265137, 2.1499998569488525], 'min': [-1.25, -13.65000057220459, 0.9500000476837158], 'type': 'AABB', 'world_P_center': [1.1378296613693237, -12.300000190734863, 1.5499999523162842], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307037, Position: (2.9188950061798096, -13.131874084472656, 0.4256587326526642), Name: building, Bounding Box: {'max': [2.997293710708618, -13.00460433959961, 0.6939977407455444], 'min': [2.7567555904388428, -13.252720832824707, 0.14727912843227386], 'type': 'AABB', 'world_P_center': [2.8770246505737305, -13.128662109375, 0.42063844203948975], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307038, Position: (2.949176788330078, -11.917717933654785, -1.5434162616729736), Name: building, Bounding Box: {'max': [3.25, -11.550000190734863, -1.5110396146774292], 'min': [2.3499999046325684, -12.556934356689453, -1.5500000715255737], 'type': 'AABB', 'world_P_center': [2.799999952316284, -12.053466796875, -1.5305198431015015], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307039, Position: (-3.4177746772766113, -23.49386215209961, 0.7041860818862915), Name: building, Bounding Box: {'max': [-0.29880058765411377, -22.149999618530273, 2.6499998569488525], 'min': [-5.888945579528809, -25.049999237060547, -1.350000023841858], 'type': 'AABB', 'world_P_center': [-3.0938730239868164, -23.599998474121094, 0.6499999165534973], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307040, Position: (-0.9677264094352722, -11.450129508972168, 1.1272969245910645), Name: pole, Bounding Box: {'max': [-0.75, -10.930545806884766, 1.8730018138885498], 'min': [-1.1650923490524292, -11.618354797363281, 0.31589475274086], 'type': 'AABB', 'world_P_center': [-0.9575461745262146, -11.274450302124023, 1.0944483280181885], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307041, Position: (-0.8931951522827148, -11.756765365600586, -1.426764965057373), Name: pole, Bounding Box: {'max': [-0.3500000536441803, -11.309102058410645, -0.924969494342804], 'min': [-1.350000023841858, -12.649999618530273, -1.5500000715255737], 'type': 'AABB', 'world_P_center': [-0.8500000238418579, -11.979551315307617, -1.2374848127365112], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
